Blender 4.2.6 LTS (hash 6dc30a3be3cf built 2025-01-21 01:31:08)
Fra:1 Mem:12.94M (Peak 12.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Floor
Fra:1 Mem:12.95M (Peak 12.95M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PoolLipL
Fra:1 Mem:12.95M (Peak 12.95M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WaterSurf
Fra:1 Mem:12.95M (Peak 12.95M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WainLowL
Fra:1 Mem:12.96M (Peak 12.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallUpL
Fra:1 Mem:12.96M (Peak 12.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TrimL
Fra:1 Mem:12.96M (Peak 12.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WallUpR
Fra:1 Mem:12.96M (Peak 12.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TrimR
Fra:1 Mem:12.97M (Peak 12.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EndWall
Fra:1 Mem:12.97M (Peak 12.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col1-1
Fra:1 Mem:12.97M (Peak 12.97M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col11
Fra:1 Mem:12.98M (Peak 12.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col41
Fra:1 Mem:12.98M (Peak 12.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col21
Fra:1 Mem:12.98M (Peak 12.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col4-1
Fra:1 Mem:12.98M (Peak 12.98M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col3-1
Fra:1 Mem:12.99M (Peak 12.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col31
Fra:1 Mem:12.99M (Peak 12.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:11.83M (Peak 12.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:11.83M (Peak 12.99M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
