Blender 4.2.6 LTS (hash 6dc30a3be3cf built 2025-01-21 01:31:08)
Fra:1 Mem:14.61M (Peak 14.61M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | DeckS
Fra:1 Mem:14.62M (Peak 14.62M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | DeckW
Fra:1 Mem:14.63M (Peak 14.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | DeckE
Fra:1 Mem:14.63M (Peak 14.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PwE
Fra:1 Mem:14.63M (Peak 14.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PwS
Fra:1 Mem:14.63M (Peak 14.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Skylight
Fra:1 Mem:14.63M (Peak 14.63M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PwN
Fra:1 Mem:14.64M (Peak 14.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L11
Fra:1 Mem:14.64M (Peak 14.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L1-1
Fra:1 Mem:14.64M (Peak 14.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L01
Fra:1 Mem:14.64M (Peak 14.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L0-1
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lip0-4
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L-11
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lip04
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | L-1-1
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ceil
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lip50
Fra:1 Mem:14.65M (Peak 14.65M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Step0
Fra:1 Mem:14.66M (Peak 14.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Step1
Fra:1 Mem:14.66M (Peak 14.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Step2
Fra:1 Mem:14.66M (Peak 14.66M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnUp
Fra:1 Mem:14.67M (Peak 14.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnLow.001
Fra:1 Mem:14.67M (Peak 14.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnUp.001
Fra:1 Mem:14.67M (Peak 14.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col1-1
Fra:1 Mem:14.67M (Peak 14.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnLow.002
Fra:1 Mem:14.67M (Peak 14.67M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnLow.003
Fra:1 Mem:14.68M (Peak 14.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col-11
Fra:1 Mem:14.68M (Peak 14.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | WnUp.003
Fra:1 Mem:14.68M (Peak 14.68M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Col-1-1
Fra:1 Mem:14.69M (Peak 14.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:12.86M (Peak 14.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:12.86M (Peak 14.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:12.86M (Peak 14.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:12.86M (Peak 14.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:12.95M (Peak 14.69M) | Time:00:00.00 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:12.96M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:12.96M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:12.96M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:12.96M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:12.97M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:13.00M (Peak 14.69M) | Time:00:00.00 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:12.99M (Peak 14.69M) | Time:00:00.00 | Mem:0.04M, Peak:0.04M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:12.99M (Peak 14.69M) | Time:00:00.00 | Mem:0.04M, Peak:0.04M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:12.99M (Peak 14.69M) | Time:00:00.00 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:12.99M (Peak 14.69M) | Time:00:00.00 | Mem:0.07M, Peak:0.09M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:12.99M (Peak 14.69M) | Time:00:00.00 | Mem:0.07M, Peak:0.09M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.07M, Peak:0.09M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Images
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Images | Loading white_wall_normal.png
Fra:1 Mem:13.01M (Peak 14.69M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Images | Loading tile_normal.png
Fra:1 Mem:17.01M (Peak 17.01M) | Time:00:00.00 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Images | Loading white_wall_albedo.png
Fra:1 Mem:29.02M (Peak 29.02M) | Time:00:00.03 | Mem:4.09M, Peak:4.09M | Scene, ViewLayer | Updating Images | Loading white_wall_rough.png
Fra:1 Mem:30.02M (Peak 30.02M) | Time:00:00.04 | Mem:17.09M, Peak:17.09M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:30.02M (Peak 30.02M) | Time:00:00.04 | Mem:17.09M, Peak:17.09M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:30.02M (Peak 30.02M) | Time:00:00.04 | Mem:17.17M, Peak:17.17M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:30.02M (Peak 30.02M) | Time:00:00.04 | Mem:17.17M, Peak:17.17M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.18M, Peak:17.18M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.18M, Peak:17.18M | Scene, ViewLayer | Updating Film
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.10M, Peak:17.18M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.19M, Peak:17.19M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.19M, Peak:17.19M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.19M, Peak:17.19M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:30.04M (Peak 30.04M) | Time:00:00.04 | Mem:17.19M, Peak:17.19M | Scene, ViewLayer | Sample 0/160
Fra:1 Mem:96.85M (Peak 96.85M) | Time:00:02.66 | Remaining:06:56.08 | Mem:84.00M, Peak:84.00M | Scene, ViewLayer | Sample 1/160
Fra:1 Mem:96.85M (Peak 96.85M) | Time:00:23.43 | Remaining:06:32.39 | Mem:84.00M, Peak:84.00M | Scene, ViewLayer | Sample 9/160
